№,Секунда,Микросекунда
1,24,378000
2,24,388000
3,24,398000
4,24,408000
5,24,418000
6,24,428000
7,24,438000
8,24,448000
9,24,458000
10,24,468000
11,24,478000
12,24,488000
13,24,498000
14,24,508000
15,24,518000
16,24,528000
17,24,538000
18,24,548000
19,24,558000
20,24,568000
21,24,578000
22,24,588000
23,24,598000
24,24,612000
25,24,627000
26,24,637000
27,24,647000
28,24,657000
29,24,667000
30,24,677000
31,24,687000
32,24,697000
33,24,707000
34,24,717000
35,24,727000
36,24,737000
37,24,747000
38,24,757000
39,24,767000
40,24,777000
41,24,787000
42,24,797000
43,24,807000
44,24,817000
45,24,827000
46,24,837000
47,24,847000
48,24,857000
49,24,867000
50,24,877000
51,24,887000
52,24,897000
53,24,907000
54,24,917000
55,24,927000
56,24,937000
57,24,947000
58,24,957000
59,24,967000
60,24,977000
61,24,987000
62,24,997000
63,25,7000
64,25,17000
65,25,27000
66,25,37000
67,25,47000
68,25,57000
69,25,67000
70,25,77000
71,25,87000
72,25,97000
73,25,107000
74,25,117000
75,25,127000
76,25,137000
77,25,147000
78,25,157000
79,25,167000
80,25,177000
81,25,187000
82,25,198000
83,25,208000
84,25,218000
85,25,228000
86,25,238000
87,25,248000
88,25,258000
89,25,268000
90,25,278000
91,25,289000
92,25,300000
93,25,310000
94,25,320000
95,25,330000
96,25,340000
97,25,350000
98,25,360000
99,25,370000
100,25,380000
101,25,390000
102,25,400000
103,25,410000
104,25,420000
105,25,430000
106,25,440000
107,25,450000
108,25,460000
109,25,470000
110,25,480000
111,25,490000
112,25,500000
113,25,510000
114,25,520000
115,25,530000
116,25,540000
117,25,550000
118,25,560000
119,25,570000
120,25,580000
121,25,590000
122,25,600000
123,25,610000
124,25,620000
125,25,630000
126,25,640000
127,25,650000
128,25,660000
129,25,670000
130,25,680000
131,25,691000
132,25,701000
133,25,711000
134,25,721000
135,25,731000
136,25,741000
137,25,751000
138,25,761000
139,25,771000
140,25,789000
141,25,799000
142,25,809000
143,25,819000
144,25,829000
145,25,839000
146,25,849000
147,25,859000
148,25,869000
149,25,879000
150,25,889000
151,25,899000
152,25,909000
153,25,919000
154,25,930000
155,25,940000
156,25,950000
157,25,960000
158,25,970000
159,25,980000
160,25,990000
161,26,0
162,26,10000
163,26,20000
164,26,30000
165,26,40000
166,26,50000
167,26,60000
168,26,70000
169,26,80000
170,26,90000
171,26,100000
172,26,110000
173,26,120000
174,26,130000
175,26,140000
176,26,150000
177,26,160000
178,26,170000
179,26,180000
180,26,190000
181,26,200000
182,26,210000
183,26,220000
184,26,230000
185,26,240000
186,26,250000
187,26,260000
188,26,270000
189,26,280000
190,26,290000
191,26,300000
192,26,311000
193,26,321000
194,26,331000
195,26,341000
196,26,351000
197,26,361000
198,26,371000
199,26,381000
200,26,391000
201,26,401000
202,26,411000
203,26,421000
204,26,431000
205,26,441000
206,26,451000
207,26,461000
208,26,471000
209,26,481000
210,26,491000
211,26,501000
212,26,511000
213,26,521000
214,26,531000
215,26,541000
216,26,551000
217,26,564000
218,26,580000
219,26,590000
220,26,603000
221,26,613000
222,26,623000
223,26,633000
224,26,643000
225,26,653000
226,26,663000
227,26,673000
228,26,683000
229,26,693000
230,26,703000
231,26,713000
232,26,723000
233,26,733000
234,26,743000
235,26,753000
236,26,763000
237,26,773000
238,26,783000
239,26,793000
240,26,803000
241,26,813000
242,26,823000
243,26,833000
244,26,843000
245,26,853000
246,26,863000
247,26,873000
248,26,883000
249,26,893000
250,26,903000
251,26,913000
252,26,923000
253,26,933000
254,26,943000
255,26,953000
256,26,963000
257,26,973000
258,26,983000
259,26,993000
260,27,3000
261,27,13000
262,27,23000
263,27,33000
264,27,43000
265,27,54000
266,27,64000
267,27,74000
268,27,84000
269,27,94000
270,27,104000
271,27,114000
272,27,124000
273,27,134000
274,27,144000
275,27,154000
276,27,164000
277,27,174000
278,27,184000
279,27,194000
280,27,204000
281,27,214000
282,27,224000
283,27,234000
284,27,244000
285,27,254000
286,27,264000
287,27,274000
288,27,284000
289,27,294000
290,27,304000
291,27,314000
292,27,324000
293,27,334000
294,27,344000
295,27,354000
296,27,364000
297,27,374000
298,27,384000
299,27,394000
300,27,404000
